_id,ltable_Id,rtable_Id,ltable_Title,ltable_Category,ltable_Duration,ltable_Rating,ltable_Rating_Count,ltable_Director,rtable_Title,rtable_Category,rtable_Duration,rtable_Rating,rtable_Rating_Count,rtable_Director
36,52,3545,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,Good Neighbors,"Drama,Mystery",98.0,58.0,2541,"Jacob Tierney,"
37,52,6973,The Good Neighbor,Mystery,98,62.0,3361.0,Kasra Farahani,The Good Neighbor,Mystery,98.0,66.0,430,"Kasra Farahani,"
38,53,27,Don't Breathe,"Crime,Horror,Mystery",88,74.0,44740.0,Fede Alvarez,Don't Breathe,"Horror,Mystery",88.0,78.0,32310,"Fede Alvarez,"
39,54,18,Friend Request,"Horror,Mystery",92,55.0,7455.0,Simon Verhoeven,Friend Request,"Art House,International,Horror,Mystery",92.0,,1868,"Simon Verhoeven,"
40,55,4562,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,Halloween,Horror,109.0,66.0,360157,"Rob Zombie,"
41,55,10249,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,Halloween H2O,Horror,86.0,56.0,179414,"Steve Miner,"
42,55,19100,Halloween II,Horror,105,49.0,37022.0,Rob Zombie,H2: Halloween II,Horror,106.0,62.0,385484,"Rob Zombie,"
43,56,192,Lights Out,"Horror,Mystery",81,65.0,35815.0,David F. Sandberg,Lights Out,Horror,81.0,70.0,24346,"David F. Sandberg,"
44,61,4712,The Hitchhiker's Guide to the Galaxy,"Adventure,Comedy,Sci-Fi",109,68.0,157449.0,Garth Jennings,The Hitchhiker's Guide to the Galaxy,"Comedy,Science Fiction,Fantasy",109.0,62.0,233175,"Garth Jennings,"
45,65,616,Houdini,Drama,0,,,,Houdini,Drama,94.0,62.0,804,"Pen Densham,"
46,67,1792,Pied Piper,"Fantasy,Mystery",0,,,,The Pied Piper,"Classics,Drama,Musical,Performing Arts,Science Fiction,Fantasy",90.0,62.0,74,"Jacques Demy,"
47,71,6041,Me Him Her,"Comedy,Romance",98,53.0,703.0,Max Landis,Me Him Her,Comedy,97.0,66.0,180,"Max Landis,"
48,75,661,Spectre,"Action,Adventure,Mystery",148,68.0,285431.0,Sam Mendes,Spectre,"Action,Adventure",150.0,70.0,104655,"Sam Mendes,"
49,76,95,Loving,"Biography,Drama",123,65.0,603.0,Jeff Nichols,Loving,Drama,123.0,78.0,9803,"Jeff Nichols,"
50,77,843,Christine,"Biography,Drama",115,72.0,370.0,Antonio Campos,Christine,Drama,115.0,76.0,2501,"Antonio Campos,"
51,78,317,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,Free Birds,"Animation,Comedy,Kids,Family",90.0,64.0,39948,"Jimmy Hayward,"
52,78,3152,Free Fire,"Action,Crime,Drama",90,75.0,256.0,Ben Wheatley,Free Fire,"Action,Adventure,Comedy,Drama",,,377,"Ben Wheatley,"
53,79,104,Lion,Drama,120,76.0,382.0,Garth Davis,Lion,Drama,120.0,80.0,2651,"Garth Davis,"
54,81,2148,Una,Drama,94,73.0,190.0,Benedict Andrews,Una,Drama,94.0,72.0,98,"Benedict Andrews,"
55,91,66,The Light Between Oceans,"Drama,Romance",133,73.0,3720.0,Derek Cianfrance,The Light Between Oceans,"Drama,Romance",132.0,72.0,11113,"Derek Cianfrance,"
56,94,119,Queen of Katwe,"Biography,Drama,Sport",124,72.0,1225.0,Mira Nair,Queen of Katwe,Drama,124.0,84.0,8198,"Mira Nair,"
57,95,986,When the Bough Breaks,"Drama,Horror,Mystery",107,43.0,980.0,Jon Cassar,When the Bough Breaks,"Drama,Horror",93.0,62.0,6193,"Jon Cassar,"
58,96,111,Middle School: The Worst Years of My Life,"Animation,Comedy,Drama",92,58.0,509.0,Steve Carr,Middle School: The Worst Years of My Life,Comedy,92.0,72.0,3903,"Steve Carr,"
59,98,762,Charlie and the Chocolate Factory,"Adventure,Comedy,Family",115,67.0,325855.0,Tim Burton,Charlie and the Chocolate Factory,"Comedy,Kids,Family,Science Fiction,Fantasy",130.0,60.0,32494408,"Tim Burton,"
60,99,197,Alice Through the Looking Glass,"Adventure,Family,Fantasy",113,63.0,33787.0,James Bobin,Alice Through the Looking Glass,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",108.0,66.0,35625,"James Bobin,"
61,99,12755,Alice Through the Looking Glass,"Adventure,Family,Fantasy",113,63.0,33787.0,James Bobin,Alice Through the Looking Glass,"Animation,Kids,Family,Science Fiction,Fantasy",73.0,,48,
62,100,3482,Hugo,"Adventure,Drama,Family",126,75.0,248338.0,Martin Scorsese,Hugo,"Kids,Family,Mystery",126.0,78.0,81426,"Martin Scorsese,"
63,101,124,Zootopia,"Animation,Adventure,Comedy",108,81.0,209549.0,"Byron Howard,Rich Moore",Zootopia,"Action,Adventure,Animation,Comedy",108.0,88.0,93402,"Byron Howard,Rich Moore,Jared Bush,"
64,102,22,Kubo and the Two Strings,"Animation,Adventure,Family",101,83.0,15249.0,Travis Knight,Kubo and the Two Strings,"Action,Adventure,Animation,Science Fiction,Fantasy",101.0,84.0,27524,"Travis Knight (II) ,"
65,103,55,The Secret Life of Pets,"Animation,Adventure,Comedy",87,67.0,58540.0,"Yarrow Cheney,Chris Renaud",The Secret Life of Pets,"Animation,Comedy",90.0,72.0,74579,"Yarrow Cheney,Chris Renaud,"
66,104,5,Finding Dory,"Animation,Adventure,Comedy",97,77.0,72833.0,"Andrew Stanton,Angus MacLane",Finding Dory,Animation,100.0,82.0,175300,"Andrew Stanton,Angus MacLane,"
67,105,29,Pete's Dragon,"Adventure,Family,Fantasy",103,72.0,8850.0,David Lowery,Pete's Dragon,"Animation,Kids,Family",90.0,78.0,31891,"David Lowery,"
68,107,62,Storks,"Animation,Adventure,Comedy",87,71.0,4597.0,"Nicholas Stoller,Doug Sweetland",Storks,"Animation,Comedy,Kids,Family",87.0,74.0,19838,"Nicholas Stoller,Doug Sweetland,"
69,111,216,Bridget Jones's Baby,"Comedy,Romance",123,74.0,14099.0,Sharon Maguire,Bridget Jones's Baby,"Comedy,Romance",122.0,76.0,15922,"Sharon Maguire,"
70,111,9759,Bridget Jones's Baby,"Comedy,Romance",123,74.0,14099.0,Sharon Maguire,Bridget Jones's Diary,"Comedy,Romance",94.0,66.0,495111,"Sharon Maguire,"
71,112,23,War Dogs,"Comedy,Crime,Drama",114,72.0,24831.0,Todd Phillips,War Dogs,"Comedy,Drama",114.0,74.0,24022,"Todd Phillips,"
72,113,858,The Birth of a Nation,"Biography,Drama,History",120,58.0,5050.0,Nate Parker,The Birth of a Nation,Drama,119.0,76.0,12753,"Nate Parker,"
73,115,14852,The Terminal,"Comedy,Drama,Romance",128,73.0,308909.0,Steven Spielberg,The Terminal,"Comedy,Drama",128.0,68.0,407160,"Steven Spielberg,"
74,116,218,Ben-Hur,"Action,Adventure,Drama",125,57.0,9702.0,Timur Bekmambetov,Ben-Hur,"Classics,Drama",124.0,72.0,17100,"Timur Bekmambetov,"
75,117,9357,Captain Phillips,"Biography,Drama,Mystery",134,79.0,328658.0,Paul Greengrass,Captain Phillips,Drama,134.0,84.0,151065,"Paul Greengrass,"
76,118,11967,The Da Vinci Code,Mystery,149,66.0,320298.0,Ron Howard,The Da Vinci Code,"Action,Adventure,Drama,Mystery",149.0,64.0,760660,"Ron Howard,"
77,120,11963,Angels & Demons,Mystery,138,67.0,212546.0,Ron Howard,Angels & Demons,"Drama,Mystery",139.0,68.0,531186,"Ron Howard,"
78,128,98,Dear Zindagi,"Drama,Romance",0,,,Gauri Shinde,Dear Zindagi,Comedy,150.0,82.0,252,"Gauri Shinde,"
79,129,2185,Diamond Island,Drama,101,69.0,58.0,Davy Chou,Diamond Island,"Art House,International",101.0,,5,"Davy Chou,"
80,131,5250,Yourself and Yours,Drama,86,66.0,70.0,Sang-soo Hong,Yourself and Yours,"Art House,International,Drama",86.0,,13,"Sang-soo Hong,"
81,134,2132,Personal Shopper,"Drama,Mystery",105,65.0,745.0,Olivier Assayas,Personal Shopper,"Art House,International,Drama,Mystery",105.0,70.0,303,"Olivier Assayas,"
82,136,651,The Girl with All the Gifts,"Drama,Horror,Mystery",111,73.0,2594.0,Colm McCarthy,The Girl With All the Gifts,Drama,,76.0,1493,"Colm McCarthy,"
83,138,24,Hell or High Water,"Crime,Drama",102,82.0,13983.0,David Mackenzie,Hell or High Water,Drama,102.0,84.0,27217,"David Mackenzie,"
84,139,54,Amanda Knox,"Documentary,Crime",92,70.0,4218.0,"Rod Blackhurst,Brian McGinn",Amanda Knox,Documentary,92.0,72.0,668,"Rod Blackhurst,Brian McGinn,"
85,140,950,My Scientology Movie,Documentary,99,68.0,2444.0,John Dower,My Scientology Movie,"Art House,International,Documentary",99.0,,1091,"John Dower,"
86,141,168,The Beatles: Eight Days a Week - The Touring Years,"Documentary,Musical",137,81.0,2193.0,Ron Howard,The Beatles: Eight Days a Week - The Touring Years,Documentary,,84.0,6936,"Ron Howard,"
87,142,10581,Oasis: Live by the Sea,Musical,82,87.0,203.0,Nigel Dick,Oasis: Live by the Sea,"Musical,Performing Arts",82.0,88.0,49,"Nigel Dick,"
88,143,952,David Brent: Life on the Road,"Comedy,Musical",96,68.0,2832.0,Ricky Gervais,David Brent: Life on the Road,Comedy,100.0,,1322,"Ricky Gervais,"
89,145,1277,Colossal,"Action,Sci-Fi,Mystery",110,69.0,215.0,Nacho Vigalondo,Colossal,,110.0,80.0,190,"Nacho Vigalondo,"
90,146,10579,Oasis... There and Then,Musical,85,90.0,397.0,"Dick Carruthers,Mark Szaszy",Oasis: ...There and Then,"Documentary,Musical,Performing Arts",80.0,92.0,52,"Dick Carruthers,"
91,147,844,Under the Shadow,Horror,84,75.0,1058.0,Babak Anvari,Under The Shadow,"Horror,Mystery",84.0,78.0,1394,"Babak Anvari,"
92,151,108,Elle,"Drama,Mystery",130,74.0,4591.0,Paul Verhoeven,Elle,"Art House,International,Drama,Mystery",130.0,74.0,2508,"Paul Verhoeven,"
93,152,8773,Tokyo Godfathers,"Animation,Adventure,Comedy",92,79.0,19736.0,"Satoshi Kon,Shgo Furuya",Tokyo Godfathers,"Animation,Art House,International,Comedy,Drama,Science Fiction,Fantasy",92.0,82.0,13565,"Satoshi Kon,Shgo Furuya,"
94,155,93,Toni Erdmann,"Comedy,Drama",162,83.0,3378.0,Maren Ade,Toni Erdmann,"Art House,International,Drama",162.0,,453,"Maren Ade,"
95,157,106,Manchester by the Sea,Drama,135,86.0,959.0,Kenneth Lonergan,Manchester by the Sea,Drama,135.0,94.0,11365,"Kenneth Lonergan,"
96,160,2973,Star Wars: Episode V - The Empire Strikes Back,"Action,Adventure,Fantasy",124,88.0,852462.0,Irvin Kershner,Star Wars: Episode V - The Empire Strikes Back,"Action,Adventure,Mystery,Science Fiction,Fantasy",124.0,82.0,1048481,"Irvin Kershner,"
97,161,33,Star Wars: Episode IV - A New Hope,"Action,Adventure,Fantasy",121,87.0,925517.0,George Lucas,Star Wars: Episode IV - A New Hope,"Action,Adventure,Mystery,Science Fiction,Fantasy",125.0,82.0,854008,"George Lucas,"
98,162,5035,Star Wars: Episode VI - Return of the Jedi,"Action,Adventure,Fantasy",131,84.0,694698.0,Richard Marquand,Star Wars: Episode VI - Return of the Jedi,"Action,Adventure,Mystery,Science Fiction,Fantasy",133.0,80.0,1006227,"Richard Marquand,"
99,163,1061,Star Wars: Episode II - Attack of the Clones,"Action,Adventure,Fantasy",142,67.0,471359.0,George Lucas,Star Wars: Episode II - Attack of the Clones,"Cult Movies,Science Fiction,Fantasy",143.0,66.0,846735,"George Lucas,"
100,164,1364,Star Wars: Episode I - The Phantom Menace,"Action,Adventure,Fantasy",136,65.0,541958.0,George Lucas,Star Wars: Episode I - The Phantom Menace,"Cult Movies,Kids,Family,Science Fiction,Fantasy",131.0,66.0,1201329,"George Lucas,"
101,167,12242,Star Wars: Clone Wars,"Animation,Action,Adventure",15,78.0,16878.0,,Star Wars: The Clone Wars,"Action,Adventure,Animation,Science Fiction,Fantasy",98.0,60.0,162200,"Dave Filoni,"
102,168,1059,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Fantasy",140,76.0,527724.0,George Lucas,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Science Fiction,Fantasy",140.0,62.0,33677262,"George Lucas,"
103,168,9254,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Fantasy",140,76.0,527724.0,George Lucas,Star Wars: Episode III - Revenge of the Sith,"Action,Adventure,Science Fiction,Fantasy",140.0,62.0,33677262,"George Lucas,"
104,169,12242,Star Wars: The Clone Wars,"Animation,Action,Adventure",98,58.0,42772.0,Dave Filoni,Star Wars: The Clone Wars,"Action,Adventure,Animation,Science Fiction,Fantasy",98.0,60.0,162200,"Dave Filoni,"
105,173,3225,The Last Battle,"Animation,Action,Adventure",30,,,,The Last Castle,"Action,Adventure,Drama,Mystery",131.0,68.0,45694,"Rod Lurie,"
106,173,4001,The Last Battle,"Animation,Action,Adventure",30,,,,The Last Face,Drama,100.0,54.0,79,"Sean Penn,"
107,173,6541,The Last Battle,"Animation,Action,Adventure",30,,,,The Last Race,Drama,,,20,"Stephen Shin,"
108,173,8988,The Last Battle,"Animation,Action,Adventure",30,,,,The Last Waltz,"Documentary,Musical,Performing Arts",117.0,86.0,13654,"Martin Scorsese,"
109,173,11911,The Last Battle,"Animation,Action,Adventure",30,,,,The Last Patrol,Documentary,86.0,80.0,23,"Sebastian Junger,"
110,173,17276,The Last Battle,"Animation,Action,Adventure",30,,,,The Last Party,"Documentary,Drama,Special Interest",100.0,76.0,318,"Mark Benjamin,Marc Levin,"
111,177,4446,The Unspoken,Mystery,90,52.0,194.0,Sheldon Wilson,The Unspoken,"Horror,Mystery",90.0,44.0,38,"Sheldon Wilson,"
112,178,6394,Priceless,"Drama,Romance",97,71.0,173.0,Ben Smallbone,Priceless,"Drama,Romance",97.0,92.0,2028,
113,179,8635,God's Not Dead 2,"Comedy,Television",41,,,,God's Not Dead 2,Drama,120.0,66.0,12699,"Harold Cronk,"
114,181,900,Before the Flood,"Documentary,News",96,81.0,221.0,Fisher Stevens,Before the Flood,Documentary,96.0,76.0,3156,"Fisher Stevens,"
115,182,1163,First Girl I Loved,"Drama,Romance",91,54.0,361.0,Kerem Sanga,First Girl I Loved,Drama,91.0,84.0,144,"Kerem Sanga,"
116,183,8035,Good Kids,Comedy,86,60.0,542.0,Chris McCoy,Good Kids,Comedy,90.0,72.0,163,"Chris McCoy,"
117,241,1094,Shazam!,"Action,Family,Fantasy",30,70.0,683.0,,Shazam!,"Action,Adventure,Science Fiction,Fantasy",,,1007,
118,248,8858,Halloween,"Horror,Mystery",91,79.0,160565.0,John Carpenter,Halloween,"Horror,Mystery",93.0,72.0,300749,"John Carpenter,"
119,251,5389,Diary of a Mad Black Woman,"Comedy,Drama,Romance",116,57.0,10582.0,Darren Grant,Diary of a Mad Black Woman,Comedy,103.0,80.0,89025,"Darren Grant,"
120,252,2432,Madea's Witness Protection,"Comedy,Crime,Drama",114,48.0,7433.0,Tyler Perry,Madea's Witness Protection,Comedy,114.0,76.0,175798,"Tyler Perry,"
121,257,18443,Career Opportunities,"Comedy,Romance",83,58.0,7109.0,Bryan Gordon,Career Opportunities,Comedy,83.0,56.0,7048,"Bryan Gordon,"
122,259,16693,Delta House,Comedy,30,63.0,77.0,,Demon House,Horror,,,0,"Lee Daniels,"
123,260,8073,Star Trek,"Action,Adventure,Mystery",50,84.0,51963.0,Gene Roddenberry,Star Trek 4,,,,145,
124,261,6180,Terminator Salvation,"Action,Adventure,Sci-Fi",115,66.0,288906.0,McG,Terminator Salvation,"Action,Adventure,Drama,Mystery,Science Fiction,Fantasy",115.0,66.0,884085,"McG,"
125,262,1111,Fast & Furious 6,"Action,Crime,Mystery",130,71.0,304738.0,Justin Lin,Fast & Furious 6,"Action,Adventure",130.0,82.0,342376,"Justin Lin,"
126,262,12293,Fast & Furious 6,"Action,Crime,Mystery",130,71.0,304738.0,Justin Lin,Fast & Furious,"Action,Adventure,Mystery",107.0,74.0,490496,"Justin Lin,"
127,263,9878,The Bourne Supremacy,"Action,Mystery",108,78.0,355927.0,Paul Greengrass,The Bourne Supremacy,"Action,Adventure,Drama,Mystery",108.0,78.0,707789,"Paul Greengrass,"
128,264,2588,Avatar,"Action,Adventure,Fantasy",162,79.0,897630.0,James Cameron,Avatar 5,,,,135,"James Cameron,"
129,264,2590,Avatar,"Action,Adventure,Fantasy",162,79.0,897630.0,James Cameron,Avatar 3,"Action,Adventure,Drama,Science Fiction,Fantasy",100.0,88.0,49168,"James Cameron,"
130,264,2591,Avatar,"Action,Adventure,Fantasy",162,79.0,897630.0,James Cameron,Avatar 4,"Science Fiction,Fantasy",,92.0,2111,"James Cameron,"
131,264,2594,Avatar,"Action,Adventure,Fantasy",162,79.0,897630.0,James Cameron,Avatar 2,"Action,Adventure,Science Fiction,Fantasy",,,133763,"James Cameron,"
132,264,2610,Avatar,"Action,Adventure,Fantasy",162,79.0,897630.0,James Cameron,Avatar,"Action,Adventure,Comedy,Mystery,Science Fiction,Fantasy",162.0,82.0,1379641,"James Cameron,"
133,265,2907,Guardians of the Galaxy Vol. 2,"Action,Sci-Fi",0,,,James Gunn,Guardians of the Galaxy,"Action,Adventure,Science Fiction,Fantasy",121.0,88.0,247463,"James Gunn (II),"
134,265,7915,Guardians of the Galaxy Vol. 2,"Action,Sci-Fi",0,,,James Gunn,Guardians of the Galaxy 2,"Action,Adventure,Comedy,Science Fiction,Fantasy",,,20582,"James Gunn (II),"
135,266,813,Mission: Impossible - Rogue Nation,"Action,Adventure,Mystery",131,74.0,240157.0,Christopher McQuarrie,Mission: Impossible Rogue Nation,"Action,Adventure",131.0,82.0,91246,"Christopher McQuarrie,"
136,267,2907,Guardians of the Galaxy,"Action,Adventure,Sci-Fi",121,81.0,701014.0,James Gunn,Guardians of the Galaxy,"Action,Adventure,Science Fiction,Fantasy",121.0,88.0,247463,"James Gunn (II),"
137,267,7915,Guardians of the Galaxy,"Action,Adventure,Sci-Fi",121,81.0,701014.0,James Gunn,Guardians of the Galaxy 2,"Action,Adventure,Comedy,Science Fiction,Fantasy",,,20582,"James Gunn (II),"
138,268,939,Now You See Me 2,"Action,Adventure,Comedy",129,66.0,106029.0,Jon M. Chu,Now You See Me 2,Mystery,115.0,68.0,65202,"Jon M. Chu,"
139,268,3983,Now You See Me 2,"Action,Adventure,Comedy",129,66.0,106029.0,Jon M. Chu,Now You See Me 3,Mystery,,,1172,"Jon M. Chu,"
140,270,20,Mechanic: Resurrection,"Action,Crime,Mystery",98,57.0,16691.0,Dennis Gansel,Mechanic: Resurrection,"Action,Adventure,Mystery",110.0,60.0,23846,"Dennis Gansel,"
141,270,6977,Mechanic: Resurrection,"Action,Crime,Mystery",98,57.0,16691.0,Dennis Gansel,Mechanic: Ressurection,,98.0,,5,"Dennis Gansel,"
142,271,184,The Purge: Election Year,"Action,Horror,Sci-Fi",109,60.0,35241.0,James DeMonaco,The Purge: Election Year,"Action,Adventure,Horror,Mystery",105.0,66.0,36513,"James DeMonaco,"
143,272,59,Sully,"Biography,Drama",96,79.0,32186.0,Clint Eastwood,Sully,"Action,Adventure,Drama",96.0,82.0,35558,"Clint Eastwood,"
144,273,61,Snowden,"Biography,Drama,Mystery",134,74.0,10783.0,Oliver Stone,Snowden,Drama,134.0,76.0,22318,"Oliver Stone,"
145,275,3070,Jack Reacher,"Action,Crime,Mystery",130,70.0,231155.0,Christopher McQuarrie,Jack Reacher,"Drama,Mystery",130.0,72.0,115028,"Christopher McQuarrie,"
146,276,60,The Magnificent Seven,"Action,Adventure,Western",133,71.0,32598.0,Antoine Fuqua,The Magnificent Seven,"Action,Adventure,Drama,Western",132.0,76.0,39207,"Antoine Fuqua,"
147,277,2962,She's Having a Baby,"Comedy,Drama,Romance",106,58.0,9241.0,John Hughes,She's Having a Baby,"Comedy,Drama",106.0,60.0,12015,"John Hughes,"
148,278,2399,Dutch,"Comedy,Drama",107,64.0,9473.0,Peter Faiman,Dutch,Comedy,107.0,64.0,7367,"Peter Faiman,"
149,280,16094,Reach the Rock,"Comedy,Drama",100,68.0,751.0,Bill Ryan,Reach the Rock,"Comedy,Drama",100.0,66.0,72,"William Ryan,"
150,284,5366,Uncle Buck,Comedy,100,70.0,64044.0,John Hughes,Uncle Buck,"Comedy,Drama",100.0,64.0,199613,"John Hughes,"
151,284,13976,Uncle Buck,Comedy,100,70.0,64044.0,John Hughes,Uncle Nick,Comedy,93.0,68.0,94,"Chris Kasick,"
152,285,5366,Uncle Buck,Comedy,30,52.0,689.0,,Uncle Buck,"Comedy,Drama",100.0,64.0,199613,"John Hughes,"
153,285,13976,Uncle Buck,Comedy,30,52.0,689.0,,Uncle Nick,Comedy,93.0,68.0,94,"Chris Kasick,"
154,286,864,Deadpool,"Action,Adventure,Comedy",108,81.0,524758.0,Tim Miller,Deadpool,"Action,Adventure,Comedy,Science Fiction,Fantasy",103.0,86.0,180503,"Tim Miller,"
155,286,10565,Deadpool,"Action,Adventure,Comedy",108,81.0,524758.0,Tim Miller,Deadpool 2,,103.0,,1243,"David Leitch,"
