Id,Title,Category,Duration,Rating,Rating_Count,Director
122,Best Worst Thing That Ever Could Have Happened...,Documentary,95,88,216,"Lonny Price,"
123,Gimme Danger,Documentary,108,72,1243,"Jim Jarmusch,"
124,Zootopia,"Action,Adventure,Animation,Comedy",108,88,93402,"Byron Howard,Rich Moore,Jared Bush,"
125,Love & Friendship,Drama,94,70,18555,"Whit Stillman,"
126,The Jungle Book,"Action,Adventure,Kids,Family",111,84,88582,"Jon Favreau,"
127,Hunt for the Wilderpeople,"Action,Adventure,Comedy",101,86,19567,"Taika Waititi,"
128,The Wizard of Oz,"Classics,Kids,Family,Musical,Performing Arts,Science Fiction,Fantasy",101,74,873800,"King Vidor,Victor Fleming,"
129,The Third Man,"Classics,Mystery",104,86,52719,"Carol Reed,"
130,Citizen Kane,"Classics,Drama,Mystery",119,82,156386,"Orson Welles,"
131,Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari),"Art House,International,Classics,Cult Movies,Horror,Mystery",52,82,26864,"Robert Wiene,"
132,All About Eve,"Classics,Comedy,Drama",138,86,44123,"Joseph L. Mankiewicz,"
133,The Godfather,Drama,175,88,728802,"Francis Ford Coppola,"
134,Inside Out,"Animation,Kids,Family",94,86,131527,"Pete Docter,Ronnie del Carmen,"
135,Modern Times,"Classics,Comedy",87,86,39458,"Charles Chaplin,"
136,Metropolis,"Action,Adventure,Art House,International,Classics,Drama,Science Fiction,Fantasy",115,82,61590,"Fritz Lang,"
137,E.T. The Extra-Terrestrial,"Kids,Family,Science Fiction,Fantasy",114,70,32312372,"Steven Spielberg,"
138,Singin' in the Rain,"Classics,Comedy,Musical,Performing Arts,Romance",102,80,137159,"Stanley Donen,Gene Kelly,"
139,It Happened One Night,"Classics,Comedy,Romance",105,82,32829,"Frank Capra,"
140,Boyhood,Drama,165,80,87124,"Richard Linklater,"
141,A Hard Day's Night,"Classics,Comedy,Musical,Performing Arts",87,78,49938,"Richard Lester,"
142,Laura,"Classics,Mystery",90,82,10191,"Otto Preminger,"
143,Snow White and the Seven Dwarfs,"Animation,Classics,Kids,Family,Science Fiction,Fantasy",83,68,468985,"David Hand,William Cottrell,David D. Hand,Wilfred Jackson,Larry Morey,Perce Pearce,Ben Sharpsteen,Richard Creedon,Merrill de Maris,Walt Disney,Dorothy Ann Blank,Dick Richard,"
144,North by Northwest,"Classics,Mystery",136,84,78420,"Alfred Hitchcock,"
145,The Battle of Algiers (La Battaglia di Algeri),"Art House,International,Drama",123,88,14097,"Gillo Pontecorvo,"
146,King Kong,"Action,Adventure,Classics,Horror",103,72,89374,"Ernest B. Schoedsack,Merian C. Cooper,"
147,Repulsion,"Classics,Drama,Horror,Mystery",104,80,18349,"Roman Polanski,"
148,Selma,Drama,127,82,59844,"Ava DuVernay,"
149,Spotlight,"Drama,Mystery",129,86,65870,"Tom McCarthy,"
150,Mad Max: Fury Road,"Action,Adventure,Science Fiction,Fantasy",120,84,121360,"George Miller,"
151,It Follows,Horror,94,70,40927,"David Robert Mitchell,"
152,Brooklyn,Drama,111,82,44907,"John Crowley,"
153,Star Wars: Episode VII - The Force Awakens,"Action,Adventure,Science Fiction,Fantasy",136,86,219770,"J.J. Abrams,"
154,The Martian,"Science Fiction,Fantasy",164,86,127681,"Ridley Scott,"
155,The Babadook,"Drama,Horror,Mystery",94,74,35387,"Jennifer Kent,"
156,Shaun the Sheep Movie,"Animation,Comedy",84,78,21958,"Mark Burton,Richard Starzak,"
157,Mr. Turner,Drama,149,66,16036,"Mike Leigh,"
158,Room,Drama,113,86,46193,"Lenny Abrahamson,"
159,Whiplash,Drama,106,90,66358,"Damien Chazelle,"
160,The LEGO Movie,"Action,Adventure,Animation,Comedy,Kids,Family",101,86,219426,"Phil Lord,Christopher Miller,Chris McKay,"
161,Life Itself,"Documentary,Special Interest,Television",120,82,12784,"Steve James,"
162,Nightcrawler,"Drama,Mystery",117,80,82851,"Dan Gilroy,"
163,Leviathan,Drama,140,78,16776,"Andrey Zvyagintsev,"
164,Gloria,"Art House,International,Drama",108,70,10569,"Sebastin Lelio,"
165,Snowpiercer,"Science Fiction,Fantasy",126,74,56219,"Bong Joon-ho,"
166,Tower,"Animation,Documentary",82,82,361,"Keith Maitland,"
167,Cameraperson,Documentary,102,72,279,"Kirsten Johnson,"
168,The Beatles: Eight Days a Week - The Touring Years,Documentary,,84,6936,"Ron Howard,"
169,Aquarius,"Art House,International,Drama",142,80,1091,"Kleber Mendona Filho,"
170,The Wailing (Goksung),"Art House,International,Drama,Mystery",156,80,3019,"Hong-jin Na,"
171,Gleason,Documentary,110,88,2372,"Clay Tweel,"
172,"Life, Animated",Documentary,89,82,2117,"Roger Ross Williams,"
173,"Lo and Behold, Reveries of the Connected World",Documentary,98,72,3213,"Werner Herzog,"
174,City Of Gold,Documentary,91,84,2811,"Laura Gabbert,"
175,Blood Father,"Action,Adventure,Mystery",88,70,7389,"Jean-Franois Richet,Jean-Franois Richet,"
176,Ghostbusters,"Action,Adventure,Comedy,Science Fiction,Fantasy",105,62,112895,"Paul Feig,"
177,Independence Day: Resurgence,"Action,Adventure,Drama,Science Fiction,Fantasy",119,54,73159,"Roland Emmerich,"
178,X-Men: Apocalypse,"Action,Adventure,Science Fiction,Fantasy",136,74,124256,"Bryan Singer,"
179,The Legend of Tarzan,"Action,Adventure",109,70,55923,"David Yates (II),"
180,Star Trek Beyond,"Action,Adventure,Drama,Science Fiction,Fantasy",120,78,69624,"Justin Lin,"
181,Central Intelligence,"Action,Adventure,Comedy",114,72,51179,"Rawson Marshall Thurber,"
182,Sausage Party,"Animation,Comedy",89,64,57886,"Conrad Vernon,Greg Tiernan,"
183,Warcraft,"Action,Adventure,Science Fiction,Fantasy",100,78,54205,"Duncan Jones,"
184,The Purge: Election Year,"Action,Adventure,Horror,Mystery",105,66,36513,"James DeMonaco,"
185,Ice Age: Collision Course,"Animation,Kids,Family",100,58,32170,"Mike Thurmeier,Galen T. Chu,"
186,Indignation,Drama,110,84,7153,"James Schamus,"
187,Mia Madre,"Art House,International,Comedy,Drama",107,70,2285,"Nanni Moretti,"
188,Bad Moms,Comedy,101,74,37350,"Jon Lucas,Scott Moore,"
189,Nerve,Mystery,96,74,21146,"Ariel Schulman,Henry Joost,"
190,Nine Lives,Comedy,87,56,8792,"Barry Sonnenfeld,"
191,Imperium,"Drama,Mystery",108,70,5863,"Daniel Ragussis,"
192,Lights Out,Horror,81,70,24346,"David F. Sandberg,"
193,Anthropoid,"Drama,Mystery",120,74,4881,"Sean Ellis (II) ,"
194,Captain Fantastic,Drama,119,80,15831,"Matt Ross,"
195,Mr. Church,Drama,104,82,3292,"Bruce Beresford,"
196,Skiptrace,"Action,Adventure",107,54,1808,"Renny Harlin,"
197,Alice Through the Looking Glass,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",108,66,35625,"James Bobin,"
198,Caf Society,Comedy,85,68,12139,"Woody Allen,"
199,Our Kind of Traitor,"Drama,Mystery",107,64,6384,"Susanna White,"
200,The Infiltrator,Drama,127,74,16797,"Brad Furman,"
201,Hillary's America: The Secret History of the Democratic Party,Documentary,100,84,12977,"Dinesh D'Souza,Bruce Schooley,"
202,Into The Forest,"Art House,International,Drama,Science Fiction,Fantasy",101,60,4226,"Patricia Rozema,"
203,Swiss Army Man,Drama,95,76,13839,"Daniel Scheinert,Daniel Kwan,"
204,The Shallows,Drama,87,68,29083,"Jaume Collet-Serra,"
205,Kingsglaive: Final Fantasy XV,"Action,Adventure,Animation,Art House,International,Drama",110,78,2584,"Takeshi Nozue,"
206,Mike and Dave Need Wedding Dates,Comedy,98,68,26132,"Jake Szymanski,"
207,The Neon Demon,Horror,110,66,7119,"Nicolas Winding Refn,"
208,Cell,Horror,98,40,3147,"Tod Williams,"
209,Don't Think Twice,Comedy,92,76,13802,"Mike Birbiglia,"
210,Oddball and the Penguins (Oddball),"Action,Adventure,Art House,International,Kids,Family",,72,561,"Stuart McDonald,"
211,Phantasm: Remastered,"Horror,Science Fiction,Fantasy",88,68,23848,"Don Coscarelli,"
212,Phantasm: Ravager,Horror,100,58,608,"David Hartman,"
213,Florence Foster Jenkins,"Comedy,Drama",110,74,12763,"Stephen Frears,"
214,Southside With You,Drama,84,80,6824,"Richard Tanne,"
215,Equity,Drama,100,76,3580,"Meera Menon,"
216,Bridget Jones's Baby,"Comedy,Romance",122,76,15922,"Sharon Maguire,"
217,Morgan,"Drama,Horror,Science Fiction,Fantasy",92,58,4642,"Luke Scott,"
218,Ben-Hur,"Classics,Drama",124,72,17100,"Timur Bekmambetov,"
219,Ex Machina,"Drama,Mystery,Science Fiction,Fantasy",108,82,69012,"Alex Garland,"
220,Harry Potter and the Deathly Hallows - Part 2,"Action,Adventure,Drama,Kids,Family,Mystery,Science Fiction,Fantasy",131,86,388150,"David Yates (II),"
221,Harry Potter and the Half-Blood Prince,"Action,Adventure,Drama,Kids,Family,Mystery,Science Fiction,Fantasy",154,76,1556819,"David Yates (II),"
222,Harry Potter and the Deathly Hallows - Part 1,"Action,Adventure,Drama,Kids,Family,Mystery,Science Fiction,Fantasy",146,82,349282,"David Yates (II),"
223,Harry Potter and the Goblet of Fire,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",157,68,34151451,"Mike Newell,"
224,Harry Potter and the Chamber of Secrets,"Kids,Family,Science Fiction,Fantasy",161,74,1148204,"Chris Columbus,"
225,Harry Potter and the Order of the Phoenix,"Action,Adventure,Drama,Kids,Family,Science Fiction,Fantasy",138,78,2330688,"David Yates (II),"
226,Harry Potter and the Prisoner of Azkaban,"Kids,Family,Science Fiction,Fantasy",142,76,1165204,"Alfonso Cuarn,"
227,Harry Potter and the Sorcerer's Stone,"Action,Adventure,Kids,Family,Science Fiction,Fantasy",152,74,1153038,"Chris Columbus,"
228,Fantastic Beasts and Where to Find Them 2,"Science Fiction,Fantasy",,,313,"David Yates (II),"
229,The Girl in the Caf (The Girl in the Cafe),"Comedy,Drama,Television,Romance",94,76,7111,"David Yates (II),"
230,JK Rowling and the Birth of Harry Potter,"Documentary,Special Interest",60,82,11500,
231,The Casual Vacancy,Drama,180,68,26,"Jonny Campbell,"
232,The Importance of Being Morrissey,"Art House,International,Documentary,Musical,Performing Arts,Special Interest",50,90,108,"Tina Flintoff,Ricky Kelehar,"
233,Queen of Earth,"Drama,Mystery",90,68,2511,"Alex Ross Perry,"
234,The Babysitters,"Comedy,Drama",90,58,3665,"David Ross,"
235,Night Moves,Drama,112,60,11990,"Kelly Reichardt,"
236,Steve Jobs,Drama,123,74,41669,"Danny Boyle,"
237,Alien: Covenant,"Action,Adventure,Mystery,Science Fiction,Fantasy",120,,17243,"Ridley Scott,"
238,Michael Clayton,"Drama,Mystery",119,70,299412,"Tony Gilroy,"
239,Manhattan Romance,"Comedy,Romance",98,70,199,"Chris S,"
240,Inherent Vice,"Drama,Mystery",148,64,31727,"Paul Thomas Anderson,"
241,Sleeping with Other People,Comedy,95,68,8272,"Leslye Headland,"
242,Glass Chin,"Drama,Mystery",87,62,280,"Noah Buschel,"
243,Are You Joking?,Comedy,92,,8,"Jake Wilson,"
244,The Stare,"Drama,Mystery",,,85,"Jay Anania,"
245,Being Flynn,Drama,102,62,4205,"Paul Weitz,"
246,The Letter,"Drama,Mystery",93,30,181,"Jay Anania,"
247,Enter Nowhere,"Drama,Horror,Mystery",89,64,320,"Jack Heller,"
248,Taking Woodstock,"Comedy,Drama,Musical,Performing Arts",121,60,252385,"Ang Lee,"
249,Good Dick,"Art House,International,Comedy,Drama",87,62,5693,"Marianna Palka,"
250,Other People's Children,Drama,85,,83,"Liz Hinlein,"
251,Hick,Drama,95,58,6574,"Derick Martini,"
252,My Week with Marilyn,Drama,99,72,34427,"Simon Curtis,"
253,Thomas & Friends: Sodor's Legend of the Lost Treasure,"Animation,Kids,Family",60,76,112,"David Stoten,"
254,Early Man,,,,10,"Nick Park,"
255,War Art With Eddie Redmayne,Documentary,60,,4,"Margy Kinmonth,"
256,The Theory of Everything,Drama,123,80,74613,"James Marsh,"
257,The Danish Girl,Drama,120,74,26407,"Tom Hooper,"
258,Jupiter Ascending,"Action,Adventure,Science Fiction,Fantasy",125,58,94593,"Lana Wachowski,Andy Wachowski,"
259,Birdsong,Drama,165,76,87,
260,Les Misrables,"Drama,Musical,Performing Arts,Romance",158,80,264221,"Tom Hooper,"
261,Black Death,"Art House,International,Drama,Horror,Mystery",101,64,19489,"Christopher Smith,"
262,The Yellow Handkerchief,"Drama,Romance",102,68,13098,"Udayan Prasad,"
263,Powder Blue,Drama,108,60,7396,"Timothy Linh Bui,"
264,Glorious 39,"Drama,Horror,Mystery,Romance",139,62,2110,"Stephen Poliakoff,"
265,The Other Boleyn Girl,"Drama,Romance",115,68,204970,"Justin Chadwick,"
266,Savage Grace,Drama,94,58,12734,"Tom Kalin,"
267,Like Minds (Murderous Intent),"Drama,Mystery",109,72,2936,"Gregory J. Read,"
268,The Good Shepherd,"Drama,Mystery,Romance",188,62,182088,"Robert De Niro,"
269,Elizabeth: The Golden Age,"Drama,Mystery",115,66,367849,"Shekhar Kapur,"
270,Crazy Heart,"Drama,Musical,Performing Arts,Romance",112,72,124472,"Scott Cooper,"
271,Winter's Tale,"Drama,Mystery,Science Fiction,Fantasy",120,60,25281,"Akiva Goldsman,"
272,The Lobster,"Comedy,Cult Movies,Drama,Science Fiction,Fantasy",118,68,29935,"Yorgos Lanthimos,"
273,In Bruges,"Comedy,Drama",107,78,111340,"Martin McDonagh,"
274,The Beguiled,Drama,,,9,"Sofia Coppola,"
275,Minority Report,"Action,Adventure,Mystery,Science Fiction,Fantasy",140,68,479879,"Steven Spielberg,"
276,Keeping Rosy,"Drama,Mystery",93,70,58,"Steve Reeves,"
277,Saving Mr. Banks,"Comedy,Drama",120,80,110703,"John Lee Hancock,"
278,Epic,"Action,Adventure,Animation,Kids,Family,Science Fiction,Fantasy",102,74,101698,"Chris Wedge,"
279,Dead Man Down,Mystery,118,64,20975,"Niels Arden Oplev,"
280,Miss Julie,Drama,133,50,570,"Liv Ullmann,"
281,Total Recall,"Action,Adventure,Science Fiction,Fantasy",121,64,116368,"Len Wiseman,"
282,Seven Psychopaths,Comedy,109,74,129102,"Martin McDonagh,"
283,The Way Back,Drama,133,72,33366,"Peter Weir,"
284,London Boulevard,"Drama,Mystery",93,56,11372,"William Monahan,"
285,Horrible Bosses,Comedy,106,72,105906,"Seth Gordon,"
286,Fright Night,"Comedy,Horror",101,68,50130,"Craig Gillespie,"
287,Burma Soldier,"Documentary,Special Interest",70,,16,"Nic Dunlop,Ricki Stern,Anne Sundberg,"
288,Ondine,"Drama,Science Fiction,Fantasy",111,66,20492,"Neil Jordan,"
289,The Imaginarium of Doctor Parnassus,"Action,Adventure,Mystery,Science Fiction,Fantasy",123,62,295537,"Terry Gilliam,"
290,Triage,"Drama,Mystery",99,64,1642,"Danis Tanovic,"
291,Kicking It,"Documentary,Drama,Special Interest,Sports,Fitness",98,70,412,"Jeff Werner,Susan Koch,"
292,Pride and Glory,"Drama,Kids,Family",130,66,78449,"Gavin O'Connor,"
293,Cassandra's Dream,"Art House,International,Drama,Mystery",105,62,121905,"Woody Allen,"
294,Miami Vice,"Action,Adventure,Drama",132,56,360047,"Michael Mann,"
295,Ask the Dust,"Documentary,Drama",40,56,42260,"Robert Towne,"
296,The New World,"Action,Adventure,Drama,Romance",150,58,147890,"Terrence Malick,"
297,Alexander,"Action,Adventure,Classics,Drama",176,52,237485,"Oliver Stone,"
298,A Home at the End of the World,"Drama,Romance",97,70,10983,"Michael Mayer,"
299,The Recruit,"Action,Adventure,Mystery",115,64,110036,"Roger Donaldson,"
300,Intermission,"Comedy,Drama,Mystery",102,72,10377,"John Crowley,James Crowley,"
301,S.W.A.T.,"Action,Adventure,Mystery",117,62,273302,"Clark Johnson,"
302,Veronica Guerin,"Art House,International,Drama",98,70,8862,"Joel Schumacher,"
303,Daredevil,"Action,Adventure,Science Fiction,Fantasy",103,56,467865,"Mark Steven Johnson,"
304,Phone Booth,Mystery,80,62,410358,"Joel Schumacher,"
305,Hart's War,Drama,128,60,43771,"Gregory Hoblit,"
306,American Outlaws,"Action,Adventure,Western",95,64,44199,"Les Mayfield,"
307,Tigerland,"Action,Adventure,Drama",101,68,34370,"Joel Schumacher,"
308,Kung Fu Panda,"Action,Adventure,Animation,Kids,Family",88,78,583726,"John Stevenson,Mark Osborne,"
309,Good Luck Chuck,Comedy,101,64,318702,"Mark Helfrich,"
310,Europa Report,"Mystery,Science Fiction,Fantasy",90,68,17044,"Sebastin Cordero,"
311,Dr. Seuss' Horton Hears a Who!,"Action,Adventure,Animation,Kids,Family",86,72,415116,"Steve Martino,Jimmy Hayward,"
312,Ava's Possessions,Horror,89,64,239,"Jordan Galland,"
313,Don Peyote,"Comedy,Drama",98,46,204,"Dan Fogler,Michael Canzoniero,"
314,Barely Lethal,"Action,Adventure,Comedy",100,60,2413,"Kyle Newman,"
315,My Depression,Documentary,28,62,10,"David Wachtenheim,Elizabeth Swados,Robert Marianetti,"
316,Hellbenders,"Comedy,Horror,Mystery",85,48,193,"J.T. Petty,"
317,Free Birds,"Animation,Comedy,Kids,Family",90,64,39948,"Jimmy Hayward,"
318,Number 13,"Drama,Mystery",,68,291,"Chase Palmer,"
319,Scenic Route,"Drama,Mystery",82,64,4450,"Kevin Goetz,Michael Goetz,"
320,Take Me Home Tonight,"Comedy,Drama",114,62,36879,"Michael Dowse,"
321,Mars Needs Moms,"Action,Adventure,Animation,Comedy,Science Fiction,Fantasy",88,60,27575,"Simon Wells,"
322,Love Happens,"Drama,Romance",109,60,125366,"Brandon Camp,"
323,Fanboys,"Action,Adventure,Comedy,Drama",90,66,69034,"Kyle Newman,"
324,Hysterical Psycho,Horror,73,,46,"Dan Fogler,"
